CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Hierarchical_Cluster
12346,311.0,1.0,8.656355735055985,1,Inactive,2
12347,1.0,7.0,8.368925174747135,2,VIPs,1
12348,74.0,4.0,7.271175422825089,0,Regular Buyers,3
12349,18.0,1.0,7.285198070516535,0,Regular Buyers,3
12350,309.0,1.0,5.68833037009728,1,Inactive,2
12352,35.0,7.0,7.234710947804242,2,VIPs,1
12353,203.0,1.0,4.499809670330265,1,Inactive,2
12354,231.0,1.0,6.985086621918461,1,Inactive,2
12355,213.0,1.0,6.132095676847728,1,Inactive,2
12356,22.0,3.0,7.819407268507752,0,Regular Buyers,3
12357,32.0,1.0,8.656355735055985,0,Regular Buyers,3
12358,1.0,2.0,6.834173322304168,0,Regular Buyers,3
12359,57.0,4.0,8.656355735055985,2,VIPs,3
12360,51.0,3.0,7.741993952455694,0,Regular Buyers,3
12361,286.0,1.0,5.169915651743512,1,Inactive,2
12362,2.0,10.0,8.463418927229844,2,VIPs,1
12363,109.0,2.0,6.315358001522335,0,Regular Buyers,2
12364,7.0,4.0,7.097631560180201,0,Regular Buyers,3
12365,290.0,1.0,5.773588348900164,1,Inactive,2
12367,3.0,1.0,5.023222409601727,0,Regular Buyers,3
12370,50.0,4.0,8.139350059656385,2,VIPs,3
12371,59.0,1.0,7.3323430446973905,0,Regular Buyers,3
12372,71.0,3.0,7.0876071218751635,0,Regular Buyers,3
12373,310.0,1.0,5.785669634128386,1,Inactive,2
12374,24.0,1.0,6.436038182589659,0,Regular Buyers,3
12375,10.0,2.0,5.936216072877503,0,Regular Buyers,3
12377,311.0,2.0,7.3454423067513295,1,Inactive,2
12378,129.0,1.0,8.29645175271804,0,Regular Buyers,3
12379,81.0,2.0,6.657034959897693,0,Regular Buyers,3
12380,21.0,4.0,7.795156704452387,0,Regular Buyers,3
12381,4.0,3.0,7.2969622705872155,0,Regular Buyers,3
12383,184.0,5.0,7.396065318710506,0,Regular Buyers,2
12384,28.0,2.0,6.055072948318093,0,Regular Buyers,3
12386,311.0,2.0,5.998688392197302,1,Inactive,2
12388,15.0,6.0,7.930803150780257,2,VIPs,1
12390,79.0,1.0,6.226220413750358,0,Regular Buyers,3
